geofence_risk,anomalies,time_of_day,movement_speed_kmh,historical_incidents_nearby,label
8,3,17,2.41,4,danger
7,3,2,0.86,1,danger
1,5,19,5.15,1,warning
0,2,16,3.84,3,safe
6,1,13,1.61,3,warning
6,3,0,3.27,0,danger
7,2,16,6.85,1,danger
4,5,7,1.15,1,danger
2,2,4,1.73,2,warning
7,3,4,2.12,1,danger
5,0,8,6.87,3,warning
10,1,2,9.38,0,danger
2,1,18,2.36,0,safe
0,0,22,1.76,2,safe
2,3,8,11.01,3,warning
4,1,21,36.81,4,warning
2,3,17,5.55,1,warning
0,5,15,23.02,2,warning
4,3,0,5.39,3,danger
9,2,1,6.61,2,danger
6,0,13,2.46,1,warning
6,3,13,2.84,1,danger
10,5,0,0.78,1,danger
8,4,15,8.65,1,danger
9,0,14,13.37,1,warning
9,1,14,4.88,2,danger
2,2,11,2.11,1,warning
6,1,15,0.84,2,warning
0,5,13,1.54,2,warning
3,5,23,1.47,1,danger
3,1,14,4.75,2,warning
4,0,22,14.51,0,safe
6,1,14,0.25,0,warning
6,3,18,0.01,3,danger
10,1,7,4.58,1,danger
3,2,1,1.67,3,warning
6,2,1,10.62,0,warning
10,4,9,1.98,3,danger
2,2,2,1.71,2,warning
5,1,22,1.57,2,warning
1,2,16,0.78,2,warning
9,0,7,4.36,0,warning
8,2,22,0.92,1,danger
4,3,3,2.76,3,danger
5,0,13,3.09,1,warning
3,4,20,0.1,2,danger
10,3,9,0.08,1,danger
9,1,0,3.67,2,danger
6,1,3,5.95,1,warning
8,1,0,14.25,2,danger
6,3,16,0.99,3,danger
0,3,16,0.54,1,warning
0,3,6,0.27,2,warning
8,0,22,2.86,0,warning
10,5,19,4.88,3,danger
8,0,14,9.18,1,warning
3,1,12,5.74,3,warning
8,5,1,1.17,3,danger
2,2,18,3.1,2,warning
6,1,23,12.06,1,warning
5,4,12,1.98,1,danger
7,0,23,3.45,2,warning
10,3,10,15.92,0,danger
8,0,21,6.63,3,warning
4,3,14,6.89,3,danger
0,5,9,1.45,0,warning
2,4,8,2.68,2,warning
9,5,8,0.43,0,danger
7,4,19,4.66,2,danger
10,0,0,0.55,1,danger
5,3,16,9.04,4,danger
7,5,11,8.42,2,danger
8,4,9,3.81,3,danger
3,1,4,0.76,2,warning
0,1,17,0.13,1,safe
0,5,14,7.97,3,warning
9,3,5,4.58,1,danger
3,5,6,6.21,2,danger
6,0,16,1.81,2,warning
1,4,5,3.56,2,warning
2,0,7,6.88,1,safe
0,1,11,3.1,2,safe
4,4,20,4.6,2,danger
0,5,13,7.8,3,warning
7,0,11,1.21,3,warning
0,2,22,0.34,1,safe
10,3,9,3.79,2,danger
0,3,21,0.32,1,warning
1,2,19,7.27,2,warning
1,1,14,6.35,3,safe
5,4,6,10.67,2,danger
6,3,8,5.1,2,danger
4,2,9,0.35,0,warning
0,5,9,1.46,4,warning
0,2,15,8.25,0,safe
2,1,6,0.91,2,safe
1,1,4,5.99,3,safe
4,0,22,7.58,2,warning
9,3,2,2.0,0,danger
5,0,17,1.95,2,warning
6,2,10,4.08,1,warning
3,4,14,9.88,0,warning
6,4,20,1.27,1,danger
10,1,19,14.17,2,danger
7,4,4,4.57,1,danger
10,4,23,24.22,0,danger
0,4,11,0.47,0,warning
5,2,3,0.68,2,warning
7,4,14,8.76,2,danger
4,5,8,10.0,1,danger
3,4,6,2.95,0,warning
1,4,9,6.26,2,warning
5,0,22,10.11,0,warning
5,2,12,0.22,3,warning
10,1,7,4.27,2,danger
0,0,11,9.6,2,safe
8,3,21,2.54,3,danger
10,2,23,1.8,1,danger
5,5,18,7.94,1,danger
2,2,0,2.05,0,warning
3,3,15,0.02,0,warning
10,3,21,16.04,1,danger
3,3,16,4.48,2,warning
2,1,17,8.56,2,safe
9,4,10,8.72,1,danger
2,2,17,0.34,0,warning
2,4,6,0.94,3,warning
3,4,17,1.86,0,warning
6,5,7,1.93,0,danger
3,3,5,5.38,1,warning
8,1,6,4.88,2,danger
0,5,22,3.41,0,warning
7,0,21,1.19,1,warning
6,1,9,2.41,1,warning
1,4,10,3.92,1,warning
7,1,12,3.16,2,warning
0,3,8,0.68,1,warning
10,0,6,5.24,1,danger
8,3,8,0.38,2,danger
8,0,12,2.38,1,warning
1,5,2,6.19,1,warning
6,4,2,0.1,0,danger
9,0,0,4.22,0,warning
2,0,20,2.04,2,safe
6,0,19,0.04,3,warning
9,1,1,1.06,1,danger
8,5,2,14.15,1,danger
3,1,14,3.68,0,safe
0,4,23,29.44,0,warning
1,0,5,3.72,2,safe
0,5,12,3.93,0,warning
4,5,20,2.49,0,danger
4,2,0,1.86,1,warning
10,4,19,1.45,1,danger
6,5,18,2.1,0,danger
8,0,0,3.08,0,warning
8,0,20,1.07,4,danger
2,5,21,1.27,0,warning
2,1,1,1.58,2,warning
2,4,14,2.98,1,warning
3,0,13,5.29,1,safe
7,5,18,9.69,1,danger
5,0,10,1.69,2,warning
7,5,14,1.02,1,danger
0,4,5,2.38,2,warning
7,5,19,11.24,2,danger
3,2,8,0.05,1,warning
10,5,4,5.66,0,danger
0,5,19,3.24,2,warning
7,4,1,0.88,0,danger
3,5,5,1.94,3,danger
5,4,17,1.27,5,danger
7,2,22,10.51,1,danger
3,4,18,3.29,1,warning
2,0,8,4.14,0,safe
8,4,20,4.5,0,danger
2,2,23,5.1,2,warning
8,3,5,3.42,2,danger
1,5,13,0.09,1,warning
1,4,23,2.04,1,warning
1,5,12,1.02,1,warning
5,1,10,5.7,1,warning
2,0,11,0.29,2,safe
8,0,18,4.15,3,warning
3,1,18,1.18,1,warning
0,1,20,14.86,1,safe
3,4,18,2.04,5,danger
0,1,23,1.97,1,safe
4,3,12,12.84,0,warning
3,5,13,2.7,1,danger
7,5,23,16.47,1,danger
7,2,17,0.12,1,danger
6,1,11,1.83,1,warning
2,1,3,5.49,4,warning
0,3,9,11.08,1,warning
0,0,16,1.48,0,safe
10,0,3,13.33,3,danger
2,5,11,4.51,3,danger
5,5,12,8.07,2,danger
6,4,3,2.53,1,danger
5,3,9,1.19,0,warning
5,2,2,12.11,0,warning
5,2,14,13.53,2,warning
2,3,1,3.44,2,warning
5,2,16,0.03,2,warning
7,0,5,0.58,0,warning
10,2,7,4.26,3,danger
10,2,2,0.12,2,danger
1,3,17,2.53,4,warning
4,3,21,1.81,2,warning
0,2,0,6.26,0,safe
0,1,15,0.29,2,safe
4,3,6,3.35,0,warning
2,4,2,4.33,1,warning
3,4,22,4.8,3,danger
2,0,3,2.6,3,safe
0,2,8,1.81,2,safe
0,1,4,5.74,2,safe
4,0,18,9.41,3,warning
5,2,14,5.91,1,warning
2,3,7,13.45,2,warning
8,4,5,6.32,1,danger
4,5,17,7.23,0,danger
7,1,18,0.92,1,warning
0,5,23,2.72,2,warning
4,4,14,3.32,1,danger
2,5,6,1.48,0,warning
0,3,9,3.76,2,warning
3,2,5,1.72,1,warning
4,3,13,5.82,0,warning
6,5,16,3.18,0,danger
0,3,8,3.07,2,warning
2,4,18,20.57,2,danger
1,1,4,2.49,0,safe
8,3,22,2.25,2,danger
9,4,6,1.92,1,danger
5,1,18,11.26,2,warning
9,2,19,3.43,1,danger
2,5,6,4.58,0,warning
7,2,23,1.0,0,danger
7,0,1,3.89,2,warning
1,4,22,1.61,2,warning
5,1,15,6.56,1,warning
6,3,12,8.93,0,danger
1,2,7,6.27,5,warning
10,1,5,6.55,0,danger
9,4,5,3.59,1,danger
1,0,8,6.23,3,safe
9,2,3,2.75,0,danger
0,5,10,5.27,2,warning
7,1,4,1.5,0,warning
0,5,16,0.36,2,warning
8,1,19,2.67,3,danger
10,1,6,3.1,1,danger
5,4,14,1.48,2,danger
6,4,14,6.5,1,danger
9,4,13,0.38,1,danger
6,3,12,1.26,1,danger
9,1,10,6.9,2,danger
2,2,12,2.87,1,warning
1,5,21,6.11,0,warning
8,4,23,4.19,1,danger
7,4,8,15.05,3,danger
9,5,9,4.55,1,danger
6,5,3,0.07,1,danger
8,1,16,2.18,2,danger
3,4,13,0.77,4,danger
3,5,23,12.93,2,danger
0,3,17,0.55,5,warning
7,3,10,2.45,3,danger
2,4,15,1.28,0,warning
6,5,0,9.38,2,danger
1,1,6,1.84,1,safe
1,1,9,24.08,2,safe
6,1,8,0.2,0,warning
5,0,2,0.69,1,warning
2,4,21,1.27,2,warning
8,1,22,8.33,3,danger
9,3,13,10.54,1,danger
5,5,14,0.37,0,danger
9,2,1,0.16,3,danger
9,2,23,6.82,2,danger
5,1,13,0.72,0,warning
0,2,15,0.71,3,safe
3,2,6,0.11,4,warning
9,0,3,0.26,4,danger
5,3,17,1.53,3,danger
5,3,23,0.34,1,danger
10,0,4,2.3,1,danger
4,0,5,8.94,1,warning
0,2,6,1.98,2,safe
7,4,14,6.51,0,danger
4,5,0,0.49,1,danger
4,5,23,5.38,0,danger
6,2,3,1.9,3,danger
3,5,0,6.93,2,danger
5,0,10,0.73,1,warning
3,3,17,11.41,0,warning
2,5,13,1.39,1,danger
6,2,21,2.18,2,danger
7,4,10,15.0,2,danger
3,2,9,4.32,3,warning
1,1,16,2.28,0,safe
9,2,3,14.94,1,danger
2,0,23,2.0,1,safe
0,3,14,0.5,1,warning
7,3,15,28.8,3,danger
2,5,20,1.56,0,warning
9,0,12,9.53,2,danger
6,1,8,0.9,3,warning
9,0,10,6.57,0,warning
4,2,10,3.72,2,warning
9,0,5,19.79,2,danger
4,0,0,4.02,2,warning
6,1,21,0.13,0,warning
8,2,5,4.63,2,danger
4,4,12,0.79,3,danger
0,4,21,8.01,2,warning
9,3,23,9.71,0,danger
9,5,21,3.29,1,danger
0,0,4,7.64,1,safe
1,3,14,0.78,1,warning
5,1,17,3.39,2,warning
8,4,19,2.5,1,danger
7,0,13,4.72,1,warning
4,1,14,0.23,2,warning
0,5,4,6.97,1,warning
6,1,3,0.41,2,warning
4,0,1,5.34,2,warning
5,5,6,0.09,0,danger
6,1,9,8.92,3,warning
2,5,15,0.96,2,danger
9,0,9,3.62,1,warning
2,0,17,1.52,2,safe
4,5,16,6.41,1,danger
5,2,20,1.94,0,warning
8,3,12,6.45,1,danger
4,1,0,1.68,2,warning
0,1,0,6.98,3,safe
3,2,14,0.16,3,warning
4,2,0,1.67,0,warning
9,2,5,3.45,1,danger
9,4,12,0.23,0,danger
4,4,0,1.03,2,danger
6,5,4,13.63,3,danger
3,4,8,18.83,4,danger
0,0,16,6.73,1,safe
4,5,15,1.45,2,danger
6,1,7,1.51,0,warning
9,3,16,5.19,0,danger
9,0,14,0.63,1,warning
5,1,23,14.81,2,warning
4,1,0,1.27,2,warning
3,5,11,39.59,0,danger
1,2,4,3.42,2,warning
3,2,23,7.38,0,warning
9,0,5,0.01,0,warning
9,2,0,10.98,2,danger
2,1,0,1.57,3,warning
9,2,9,5.51,3,danger
0,4,9,8.21,0,warning
7,2,2,0.9,1,danger
4,1,16,2.92,0,warning
3,5,18,3.4,3,danger
7,0,10,1.87,3,warning
6,3,17,3.29,0,danger
1,2,1,1.91,2,warning
0,1,8,2.24,1,safe
10,3,23,5.53,0,danger
3,3,16,5.01,2,warning
7,4,13,1.32,4,danger
1,3,3,11.39,1,warning
2,5,16,9.93,2,danger
0,1,16,3.56,0,safe
0,1,11,2.84,4,safe
2,2,19,2.36,2,warning
10,2,17,6.14,1,danger
4,2,2,5.57,1,warning
2,5,10,1.09,1,danger
0,3,17,5.57,1,warning
0,3,3,1.45,0,warning
7,4,16,0.09,1,danger
9,5,17,6.01,2,danger
10,2,4,5.18,4,danger
1,0,13,2.65,4,safe
2,4,9,3.73,2,warning
1,0,14,14.7,1,safe
2,3,0,4.52,1,warning
6,4,15,5.36,2,danger
0,4,10,0.33,2,warning
9,1,22,0.91,1,danger
7,3,19,1.79,0,danger
9,3,5,3.88,3,danger
9,5,23,7.49,1,danger
9,4,21,1.94,1,danger
1,3,15,2.2,1,warning
2,4,1,1.48,0,warning
8,5,0,1.47,1,danger
6,5,23,14.87,2,danger
3,1,23,5.05,4,warning
9,4,8,0.85,0,danger
4,3,21,6.41,0,warning
1,3,11,6.4,1,warning
10,4,16,5.49,0,danger
7,4,14,0.72,1,danger
3,4,18,2.62,1,warning
8,2,21,0.56,0,danger
4,3,9,8.48,1,warning
8,5,11,5.32,1,danger
3,3,13,3.54,5,danger
9,2,8,2.1,2,danger
4,4,12,1.02,2,danger
8,1,2,0.56,0,danger
7,4,20,17.41,0,danger
2,4,13,1.11,0,warning
0,2,20,0.31,1,safe
2,3,9,16.31,0,warning
3,4,15,3.98,1,warning
1,3,6,7.96,0,warning
0,0,3,0.22,2,safe
6,5,19,4.18,2,danger
7,3,22,2.54,1,danger
6,1,10,7.39,3,warning
4,5,15,0.2,1,danger
0,1,19,2.57,0,safe
6,4,3,8.02,1,danger
6,5,21,3.7,0,danger
8,3,21,3.99,2,danger
2,5,22,0.51,1,danger
8,4,16,0.71,1,danger
0,2,12,5.65,3,safe
0,1,10,5.62,4,safe
3,4,2,19.34,2,danger
8,2,8,6.22,1,danger
5,5,5,3.4,0,danger
10,5,21,9.74,2,danger
2,4,20,0.55,2,warning
0,3,10,2.98,1,warning
3,5,15,1.69,2,danger
8,3,18,0.55,0,danger
2,3,4,7.21,4,warning
8,3,13,3.57,2,danger
6,0,16,4.07,2,warning
3,2,2,2.65,4,warning
2,2,3,3.08,2,warning
9,5,15,0.62,4,danger
4,5,15,5.59,1,danger
4,3,20,2.83,3,danger
2,0,3,8.48,1,safe
8,3,18,1.09,1,danger
3,0,16,1.15,0,safe
10,3,12,5.19,0,danger
4,1,21,9.35,0,warning
3,1,22,3.2,2,warning
4,4,23,6.49,0,danger
6,3,0,36.54,2,danger
8,5,11,23.16,2,danger
6,2,3,6.82,2,danger
4,4,10,6.73,3,danger
9,5,4,1.42,2,danger
9,1,1,8.96,3,danger
6,3,16,2.6,1,danger
9,4,7,16.35,1,danger
4,3,5,0.42,3,danger
2,1,20,2.86,3,warning
6,4,8,4.06,1,danger
10,1,12,2.6,0,danger
10,0,10,1.18,1,danger
1,1,15,4.49,3,safe
8,3,15,7.05,0,danger
9,2,1,5.18,0,danger
9,1,9,1.34,2,danger
0,5,11,6.58,3,warning
5,2,7,1.48,2,warning
6,0,10,0.96,0,warning
7,4,9,5.87,2,danger
9,4,12,9.25,3,danger
8,2,16,3.28,1,danger
1,4,6,3.79,2,warning
10,1,23,1.8,2,danger
9,2,2,3.41,0,danger
1,3,19,0.71,1,warning
4,1,12,15.6,2,warning
4,1,18,8.06,0,warning
5,1,6,5.51,2,warning
2,3,8,3.86,2,warning
7,0,18,7.86,1,warning
0,5,12,3.41,1,warning
5,4,21,1.78,3,danger
3,2,7,0.87,0,warning
0,0,21,5.21,1,safe
6,2,17,13.26,1,warning
8,4,22,0.83,1,danger
3,3,1,0.99,1,warning
3,1,17,2.84,1,warning
5,1,17,8.22,2,warning
2,3,10,1.74,2,warning
5,0,0,1.46,4,warning
6,0,13,4.84,2,warning
10,2,15,3.84,2,danger
9,3,10,0.31,1,danger
9,0,0,0.43,3,danger
2,3,6,5.15,0,warning
6,4,15,3.13,0,danger
2,1,13,17.7,1,safe
1,1,14,5.67,3,safe
9,1,13,0.05,1,danger
3,3,20,3.28,1,warning
7,3,10,2.68,0,danger
8,2,15,0.56,2,danger
6,1,18,12.83,1,warning
0,2,16,8.17,1,safe
2,1,5,1.31,1,safe
8,2,10,1.48,3,danger
0,2,16,0.16,3,safe
8,4,8,1.76,1,danger
7,2,17,4.39,2,danger
0,3,16,2.73,3,warning
5,2,11,17.41,3,warning
4,1,22,0.29,1,warning
5,2,21,4.48,1,warning
9,0,21,9.77,4,danger
4,5,4,3.28,4,danger
5,1,10,0.01,2,warning
4,0,3,1.39,1,warning
10,1,3,1.96,4,danger
4,3,2,16.91,1,warning
3,5,23,12.14,2,danger
2,5,22,14.9,2,danger
2,3,16,8.74,1,warning
3,5,6,2.17,2,danger
8,3,3,11.82,2,danger
1,0,22,20.0,2,safe
8,4,12,2.15,1,danger
0,1,11,1.51,1,safe
0,3,0,3.96,0,warning
4,1,20,1.04,2,warning
5,0,18,0.17,3,warning
5,4,20,14.58,4,danger
2,0,19,13.0,0,safe
6,5,17,0.89,1,danger
8,1,10,2.62,1,danger
10,4,19,8.89,1,danger
9,5,2,5.41,1,danger
7,4,16,2.51,2,danger
5,5,11,6.82,3,danger
7,0,9,11.37,5,warning
4,3,7,13.03,4,danger
7,1,14,2.38,3,danger
9,2,4,0.95,2,danger
3,2,3,12.2,1,warning
9,0,20,0.49,1,warning
7,1,19,6.4,1,warning
9,1,18,0.76,2,danger
1,0,20,2.47,0,safe
4,1,3,2.65,2,warning
8,3,14,0.86,2,danger
3,0,16,12.8,2,safe
10,3,11,0.01,0,danger
5,1,2,11.21,0,warning
0,0,9,10.76,2,safe
8,1,14,1.91,0,warning
0,0,9,6.09,0,safe
4,1,23,1.46,1,warning
3,3,22,7.11,1,warning
2,3,17,4.12,0,warning
5,1,0,1.78,0,warning
1,0,2,2.56,3,safe
2,2,20,5.85,0,warning
4,3,11,11.83,2,warning
8,3,0,0.7,1,danger
1,5,2,4.24,0,warning
9,2,2,1.46,3,danger
7,1,4,8.08,2,danger
1,0,18,0.36,3,safe
10,5,0,5.84,3,danger
4,1,3,0.96,2,warning
6,4,3,4.54,1,danger
7,3,16,9.03,3,danger
0,4,13,7.03,2,warning
5,3,17,6.99,2,danger
0,3,0,3.65,1,warning
1,4,21,11.07,3,warning
0,4,15,4.43,0,warning
10,1,2,12.48,1,danger
4,5,22,3.95,1,danger
9,5,20,3.53,0,danger
8,4,8,1.26,1,danger
5,1,22,3.93,1,warning
10,5,3,0.76,3,danger
10,1,20,10.19,1,danger
0,1,4,5.63,2,safe
0,3,10,25.29,2,warning
1,5,20,0.48,1,warning
8,5,8,1.38,2,danger
2,3,2,10.48,1,warning
0,4,5,2.51,0,warning
4,3,23,3.14,0,warning
6,5,10,9.85,3,danger
5,5,8,3.69,2,danger
0,4,14,1.08,1,warning
4,3,22,11.13,4,danger
4,0,2,0.16,0,safe
5,0,0,11.29,2,warning
2,4,19,0.26,2,warning
4,3,21,5.48,2,warning
6,3,18,0.37,2,danger
4,1,13,6.12,0,warning
4,5,16,0.17,0,danger
4,2,21,9.24,0,warning
9,4,13,3.14,1,danger
9,2,16,0.49,2,danger
2,2,13,6.13,0,warning
0,4,11,3.36,0,warning
4,3,15,1.06,1,warning
8,4,0,0.08,1,danger
0,2,12,2.71,2,safe
2,5,5,0.45,0,danger
3,5,16,0.49,1,danger
0,5,11,1.56,0,warning
0,3,22,4.98,1,warning
7,0,18,3.77,1,warning
1,4,5,0.36,2,warning
7,5,6,17.28,1,danger
6,4,0,10.91,2,danger
9,5,0,1.5,1,danger
9,3,4,0.65,2,danger
1,0,5,14.27,1,safe
5,0,15,3.09,2,warning
5,5,15,1.86,2,danger
2,3,13,3.37,1,warning
10,1,0,7.41,0,danger
1,4,12,0.92,0,warning
0,4,19,7.29,2,warning
5,2,9,6.92,2,warning
4,3,23,3.88,1,warning
10,2,9,10.04,1,danger
8,5,8,0.71,0,danger
0,2,12,4.53,1,safe
6,0,2,2.98,2,warning
4,4,17,2.74,0,danger
4,2,19,1.46,1,warning
1,0,1,2.33,2,safe
10,3,16,0.57,2,danger
2,2,18,1.45,4,warning
6,5,22,1.59,1,danger
5,5,12,6.38,1,danger
1,5,12,0.25,0,warning
5,4,0,5.27,2,danger
1,2,1,1.25,1,warning
1,3,0,0.43,1,warning
1,2,23,1.79,0,safe
10,4,4,1.27,1,danger
2,0,23,4.02,0,safe
1,4,2,2.21,1,warning
3,5,6,16.91,0,danger
8,0,23,16.56,2,warning
5,5,21,2.93,0,danger
0,1,12,7.93,3,safe
7,4,22,0.07,3,danger
6,4,17,3.97,1,danger
9,3,23,6.8,0,danger
2,2,20,1.22,1,warning
0,0,6,0.32,0,safe
4,0,0,0.85,2,warning
3,3,4,2.92,1,warning
9,3,16,3.53,0,danger
7,2,7,2.4,1,danger
0,5,14,2.9,1,warning
9,2,19,3.18,3,danger
0,4,3,7.34,3,warning
3,5,1,0.56,0,danger
7,1,4,7.33,0,warning
4,2,0,5.83,0,warning
1,3,4,6.77,2,warning
5,5,5,6.63,1,danger
4,2,1,3.18,0,warning
1,0,0,1.19,2,safe
10,1,3,3.85,3,danger
10,4,6,15.85,1,danger
10,0,21,4.44,1,danger
2,0,0,0.06,1,safe
8,1,0,0.31,0,danger
6,4,7,24.71,2,danger
6,3,19,0.37,3,danger
10,5,15,0.24,2,danger
5,4,20,2.18,2,danger
7,2,12,17.42,3,danger
3,0,22,1.92,0,safe
7,2,23,2.64,1,danger
3,3,22,5.03,4,danger
7,2,17,0.12,1,danger
8,4,19,11.4,2,danger
2,2,9,3.66,2,warning
2,3,11,3.14,1,warning
10,3,0,9.86,1,danger
1,3,9,15.3,1,warning
9,4,8,2.75,0,danger
2,3,2,0.95,1,warning
2,0,18,8.46,1,safe
4,3,8,2.58,2,warning
4,2,9,13.71,1,warning
1,5,18,14.97,3,danger
9,2,15,0.61,3,danger
5,5,23,15.68,2,danger
4,2,17,2.3,0,warning
5,4,13,5.2,1,danger
0,2,2,0.18,0,safe
4,4,1,10.99,1,danger
8,4,0,5.13,4,danger
9,3,17,5.16,1,danger
1,0,23,11.62,0,safe
0,5,8,3.55,2,warning
9,3,12,2.64,1,danger
10,3,1,10.05,0,danger
8,4,6,6.78,1,danger
9,4,15,14.88,3,danger
8,5,20,14.08,2,danger
8,2,18,2.41,2,danger
5,2,14,2.96,1,warning
7,3,21,1.48,2,danger
10,1,10,5.4,3,danger
0,1,0,2.27,1,safe
9,2,20,7.71,2,danger
3,1,6,0.65,0,safe
0,2,19,0.62,0,safe
7,4,7,1.14,0,danger
0,3,9,0.44,0,safe
2,0,4,4.84,0,safe
3,3,8,0.8,1,warning
7,2,0,0.87,2,danger
5,2,1,0.07,2,warning
9,3,18,7.62,0,danger
6,5,13,8.36,0,danger
7,2,19,0.88,1,danger
1,1,9,6.73,1,safe
9,1,8,2.84,1,danger
10,2,9,1.37,1,danger
7,2,5,4.86,1,danger
2,5,16,0.98,2,danger
6,1,5,7.07,0,warning
2,2,3,0.24,1,warning
6,2,19,15.99,1,warning
10,5,2,0.37,1,danger
1,5,22,4.33,0,warning
9,3,18,11.62,3,danger
5,5,17,0.06,2,danger
2,0,23,3.45,0,safe
2,1,3,2.15,2,warning
8,3,7,4.34,1,danger
6,0,16,1.28,1,warning
4,2,4,0.34,0,warning
9,2,12,4.92,1,danger
6,3,0,2.7,3,danger
8,5,12,4.87,0,danger
0,2,3,1.18,2,safe
6,4,21,2.07,1,danger
5,3,23,4.12,1,danger
9,0,13,4.5,2,danger
8,3,2,2.33,2,danger
0,1,4,1.64,4,safe
3,5,6,1.6,3,danger
8,5,0,0.96,2,danger
3,3,22,1.97,1,warning
9,2,11,1.11,0,danger
2,2,10,5.02,0,warning
8,4,23,4.21,1,danger
1,4,7,2.41,3,warning
3,5,5,1.97,2,danger
5,4,21,1.36,1,danger
1,0,1,3.83,0,safe
7,4,18,12.56,0,danger
7,0,19,5.79,3,warning
0,4,19,6.82,1,warning
2,5,23,8.99,0,danger
9,5,13,2.17,2,danger
8,0,0,0.32,0,warning
4,3,9,4.87,0,warning
5,5,15,1.05,1,danger
3,3,3,4.21,2,warning
9,2,10,6.73,2,danger
1,0,15,7.65,2,safe
10,5,19,1.8,1,danger
7,1,0,3.59,1,warning
10,2,15,4.85,0,danger
5,3,18,8.56,0,warning
4,5,20,7.16,0,danger
8,0,21,22.1,2,danger
0,4,8,0.04,4,warning
4,1,8,2.88,1,warning
5,3,8,1.48,2,danger
4,2,16,0.64,1,warning
5,0,11,12.12,0,warning
5,1,12,30.98,2,warning
6,0,7,1.0,1,warning
3,5,15,0.2,1,danger
10,4,17,1.61,0,danger
7,2,0,9.0,0,danger
6,0,0,1.74,2,warning
8,3,11,0.29,2,danger
6,5,5,0.27,0,danger
2,5,8,2.79,5,danger
2,2,22,13.43,2,warning
7,5,4,1.68,3,danger
4,3,15,2.79,1,warning
3,0,17,0.54,0,safe
7,2,16,3.4,1,danger
5,5,17,5.96,2,danger
1,5,0,1.58,0,warning
3,3,18,1.76,1,warning
10,4,21,9.23,2,danger
3,4,7,0.05,1,warning
5,5,2,5.06,1,danger
5,0,4,2.5,3,warning
0,2,22,1.77,3,warning
7,5,7,5.36,1,danger
5,1,18,9.0,4,warning
2,2,17,4.09,1,warning
8,4,17,0.16,0,danger
1,5,20,3.09,1,warning
10,3,0,3.11,3,danger
7,1,14,3.92,5,danger
